sumlev,region,division,state,digraph,,name,population,annual_pop_growth,annual_prcnt_pop_growth
10,0,0,0,US,,United States,328239523,255200373,77.7
40,3,6,1,AL,,Alabama,4903185,3814879,77.8
40,4,9,2,AK,,Alaska,731545,551562,75.4
40,4,8,4,AZ,,Arizona,7278717,5638481,77.5
40,3,7,5,AR,,Arkansas,3017804,2317649,76.8
,,,,AS,,American Somoa,55216,,
40,4,9,6,CA,,California,39512223,30617582,77.5
40,4,8,8,CO,,Colorado,5758736,4499217,78.1
40,1,1,9,CT,,Connecticut,3565287,2837847,79.6
40,3,5,10,DE,,Delaware,973764,770192,79.1
40,3,5,11,DC,,District of Columbia,705749,577581,81.8
40,3,5,12,FL,,Florida,21477737,17247808,80.3
40,3,5,13,GA,,Georgia,10617423,8113542,76.4
,,,,GU,,Guam,168775,,
40,4,9,15,HI,,Hawaii,1415872,1116004,78.8
40,4,8,16,ID,,Idaho,1787065,1338864,74.9
40,2,3,17,IL,,Illinois,12671821,9853946,77.8
40,2,3,18,IN,,Indiana,6732219,5164245,76.7
40,2,4,19,IA,,Iowa,3155070,2428229,77
40,2,4,20,KS,,Kansas,2913314,2213064,76
40,3,6,21,KY,,Kentucky,4467673,3464802,77.6
40,3,7,22,LA,,Louisiana,4648794,3561164,76.6
40,1,1,23,ME,,Maine,1344212,1095370,81.5
40,3,5,24,MD,,Maryland,6045680,4710993,77.9
40,1,1,25,MA,,Massachusetts,6892503,5539703,80.4
40,2,3,26,MI,,Michigan,9986857,7842924,78.5
40,2,4,27,MN,,Minnesota,5639632,4336475,76.9
40,3,6,28,MS,,Mississippi,2976149,2277566,76.5
40,2,4,29,MO,,Missouri,6137428,4766843,77.7
,,,,MP,,Northern Mariana Islands,57485,,
40,4,8,30,MT,,Montana,1068778,840190,78.6
40,2,4,31,NE,,Nebraska,1934408,1458334,75.4
40,4,8,32,NV,,Nevada,3080156,2387517,77.5
40,1,1,33,NH,,New Hampshire,1359711,1104458,81.2
40,1,2,34,NJ,,New Jersey,8882190,6943612,78.2
40,4,8,35,NM,,New Mexico,2096829,1620991,77.3
40,1,2,36,NY,,New York,19453561,15425262,79.3
40,3,5,37,NC,,North Carolina,10488084,8187369,78.1
40,2,4,38,ND,,North Dakota,762062,581891,76.4
40,2,3,39,OH,,Ohio,11689100,9111081,77.9
40,3,7,40,OK,,Oklahoma,3956971,3004733,75.9
40,4,9,41,OR,,Oregon,4217737,3351175,79.5
40,1,2,42,PA,,Pennsylvania,12801989,10167376,79.4
40,1,1,44,RI,,Rhode Island,1059361,854866,80.7
40,3,5,45,SC,,South Carolina,5148714,4037531,78.4
40,2,4,46,SD,,South Dakota,884659,667558,75.5
40,3,6,47,TN,,Tennessee,6829174,5319123,77.9
40,3,7,48,TX,,Texas,28995881,21596071,74.5
40,4,8,49,UT,,Utah,3205958,2274774,71
40,1,1,50,VT,,Vermont,623989,509984,81.7
40,3,5,51,VA,,Virginia,8535519,6674671,78.2
,,,,VI,,Virgin Islands,104425,,
40,4,9,53,WA,,Washington,7614893,5951832,78.2
40,3,5,54,WV,,West Virginia,1792147,1432580,79.9
40,2,3,55,WI,,Wisconsin,5822434,4555837,78.2
40,4,8,56,WY,,Wyoming,578759,445025,76.9
40,X,X,72,PR,,Puerto Rico Commonwealth,3193694,2620963,82.1
